date,symbol,marketcapname,sector
20-04-2026,CUPID,Largecap,FMCG
20-04-2026,ARIHANT,Smallcap,Realty
20-04-2026,POWERGRID,Largecap,Power & Utilities
20-04-2026,BHARATWIRE,Smallcap,Metals & Mining
20-04-2026,ADANIGREEN,Largecap,Power & Utilities
20-04-2026,HAPPYFORGE,Midcap,Industrials
21-04-2026,NESTLEIND,Largecap,FMCG
21-04-2026,JSWENERGY,Largecap,Power & Utilities
21-04-2026,MUTHOOTMF,Smallcap,Financials
22-04-2026,MMFL,Smallcap,Industrials
22-04-2026,JSWENERGY,Largecap,Power & Utilities
22-04-2026,AHLEAST,Smallcap,Services
22-04-2026,NINSYS,Smallcap,I.T
22-04-2026,ANGELONE,Largecap,Financials
22-04-2026,ROLEXRINGS,Smallcap,Auto
23-04-2026,LUPIN,Largecap,Healthcare
24-04-2026,SBCL,Smallcap,Metals & Mining
27-04-2026,CESC,Largecap,Power & Utilities
27-04-2026,SBCL,Smallcap,Metals & Mining
27-04-2026,ENGINERSIN,Midcap,Realty
27-04-2026,POWERGRID,Largecap,Power & Utilities
27-04-2026,NTPCGREEN,Largecap,Power & Utilities
29-04-2026,GESHIP,Largecap,Transportation
29-04-2026,COALINDIA,Largecap,Metals & Mining
30-04-2026,MUTHOOTMF,Smallcap,Financials
30-04-2026,SAILIFE,Largecap,Healthcare
04-05-2026,PRIVISCL,Midcap,Chemicals
04-05-2026,BAJAJ-AUTO,Largecap,Auto
04-05-2026,MASFIN,Midcap,Financials
04-05-2026,ASTERDM,Largecap,Healthcare
04-05-2026,KMEW,Midcap,Transportation
04-05-2026,AETHER,Midcap,Chemicals
04-05-2026,MUTHOOTMF,Smallcap,Financials
05-05-2026,ADVENZYMES,Smallcap,Healthcare
05-05-2026,CREDITACC,Largecap,Financials
06-05-2026,LUPIN,Largecap,Healthcare
06-05-2026,GRWRHITECH,Midcap,Industrials
06-05-2026,SUNPHARMA,Largecap,Healthcare
06-05-2026,TFCILTD,Smallcap,Financials
06-05-2026,ABCAPITAL,Largecap,Financials
06-05-2026,GLOBAL,Smallcap,Services
06-05-2026,SJS,Midcap,Auto
07-05-2026,AEROENTER,Smallcap,Metals & Mining
07-05-2026,LINDEINDIA,Largecap,Chemicals
07-05-2026,ARMANFIN,Smallcap,Financials
07-05-2026,ANURAS,Midcap,Chemicals
07-05-2026,YATHARTH,Midcap,Healthcare
07-05-2026,NORTHARC,Smallcap,Financials
08-05-2026,MAYURUNIQ,Smallcap,Consumer Discretionary
08-05-2026,ADVENZYMES,Smallcap,Healthcare
08-05-2026,SOFTTECH,Smallcap,I.T
08-05-2026,METROPOLIS,Midcap,Healthcare
08-05-2026,YATHARTH,Midcap,Healthcare
11-05-2026,TORNTPHARM,Largecap,Healthcare
11-05-2026,ARMANFIN,Smallcap,Financials
11-05-2026,ADVENZYMES,Smallcap,Healthcare
11-05-2026,NORTHARC,Smallcap,Financials
14-05-2026,SHAILY,Midcap,Plastic products
14-05-2026,OIL,Largecap,Energy
15-05-2026,IPCALAB,Largecap,Healthcare
15-05-2026,BIOCON,Largecap,Healthcare
18-05-2026,SOLARINDS,Largecap,Aerospace & Defence
18-05-2026,GLAND,Largecap,Healthcare
19-05-2026,OFSS,Largecap,I.T
19-05-2026,APOLLO,Midcap,Aerospace & Defence
20-05-2026,MANAPPURAM,Largecap,Financials
20-05-2026,ZYDUSLIFE,Largecap,Healthcare
20-05-2026,APOLLO,Midcap,Aerospace & Defence
21-05-2026,INDOBORAX,Smallcap,Chemicals
21-05-2026,MANAPPURAM,Largecap,Financials
21-05-2026,TRITURBINE,Largecap,Industrials
22-05-2026,SHILPAMED,Midcap,Healthcare
22-05-2026,SOUTHWEST,Smallcap,Metals & Mining
25-05-2026,RUBYMILLS,Smallcap,Textiles
25-05-2026,SHILPAMED,Midcap,Healthcare
25-05-2026,BALAMINES,Midcap,Chemicals
25-05-2026,RATEGAIN,Midcap,I.T
26-05-2026,TATACOMM,Largecap,Telecom-Service
26-05-2026,DIVGIITTS,Smallcap,Auto
29-05-2026,MOTOGENFIN,Smallcap,Realty
29-05-2026,AFIL,Smallcap,Financials
01-06-2026,MANCREDIT,Smallcap,Financials
01-06-2026,ACMESOLAR,Largecap,Realty
02-06-2026,PTCIL,Largecap,Industrials
02-06-2026,ACMESOLAR,Largecap,Realty
03-06-2026,IFCI,Largecap,Financials
05-06-2026,TIPSMUSIC,Midcap,Media
05-06-2026,RPEL,Midcap,Building Materials
05-06-2026,PARAS,Midcap,Aerospace & Defence
08-06-2026,THYROCARE,Midcap,Healthcare
08-06-2026,SVLL,Smallcap,Transportation
08-06-2026,KIMS,Largecap,Healthcare
08-06-2026,INOXINDIA,Midcap,Industrials
09-06-2026,DATAPATTNS,Largecap,Aerospace & Defence
10-06-2026,CAPLIPOINT,Midcap,Healthcare
10-06-2026,GOLDIAM,Midcap,Consumer Discretionary
11-06-2026,MSTCLTD,Smallcap,I.T
12-06-2026,CAPLIPOINT,Midcap,Healthcare
12-06-2026,GOLDIAM,Midcap,Consumer Discretionary
15-06-2026,PIDILITIND,Largecap,Chemicals
15-06-2026,SANGHVIMOV,Smallcap,Miscellaneous
15-06-2026,CGCL,Largecap,Financials
16-06-2026,GMRAIRPORT,Largecap,Miscellaneous
16-06-2026,LALPATHLAB,Largecap,Healthcare
16-06-2026,ABCAPITAL,Largecap,Financials
17-06-2026,AEROENTER,Smallcap,Metals & Mining
18-06-2026,INGERRAND,Midcap,Industrials
19-06-2026,THELEELA,Midcap,Services
22-06-2026,TEXINFRA,Smallcap,Realty
22-06-2026,EDELWEISS,Midcap,Financials
22-06-2026,KMEW,Midcap,Transportation
22-06-2026,PRUDENT,Midcap,Financials
23-06-2026,KOVAI,Midcap,Healthcare
24-06-2026,STEELCAS,Smallcap,Industrials
24-06-2026,AUROPHARMA,Largecap,Healthcare
24-06-2026,KPRMILL,Largecap,Consumer Discretionary
24-06-2026,AETHER,Midcap,Chemicals
25-06-2026,PIXTRANS,Smallcap,FMCG
25-06-2026,AUROPHARMA,Largecap,Healthcare
